ISR_M_d,ISR_frequency,ISR_sine_r[0],ISR_sine_r[1],ISR_sine_r[2],Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19
1,1,0.829018056,-0.898809373,0.0697912946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.829193711,-0.898671567,0.0694779009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.829369247,-0.898533762,0.0691644922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.829544723,-0.898395836,0.0688510835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.82972014,-0.898257792,0.0685376674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.829895437,-0.898119688,0.0682242438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.830070674,-0.897981524,0.0679108128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.830245852,-0.897843242,0.0675973743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.830420911,-0.89770484,0.0672839284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.830595911,-0.897566378,0.0669704825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.830770791,-0.897427857,0.0666570216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.830945611,-0.897289217,0.0663435608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.831120372,-0.897150457,0.0660300925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.831295013,-0.897011638,0.0657166094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.831469595,-0.896872759,0.0654031262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.831644118,-0.896733761,0.065089643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.831818521,-0.896594644,0.0647761449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.831992865,-0.896455467,0.0644626394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.832167089,-0.89631623,0.0641491339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.832341254,-0.896176875,0.0638356134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.832515359,-0.896037459,0.063522093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.832689345,-0.895897925,0.0632085651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.832863271,-0.895758331,0.0628950298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.833037138,-0.895618618,0.0625814945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.833210886,-0.895478845,0.0622679442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.833384573,-0.895338953,0.061954394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.833558142,-0.895199001,0.0616408326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.833731651,-0.89505893,0.0613272674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.833905101,-0.894918799,0.0610136986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.834078431,-0.89477855,0.0607001223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.834251702,-0.89463824,0.0603865385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.834424853,-0.894497812,0.060072951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.834598005,-0.894357324,0.0597593561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
